Cuisines,avg_rating,avg_votes,avg_price,count,cluster
Afghani,2.3885714285714283,83.91428571428571,2.0285714285714285,35,1
African,3.5,604.0588235294117,3.3529411764705883,17,0
American,3.6365546218487395,500.2487394957983,2.553781512605042,1190,2
Andhra,3.926315789473684,528.421052631579,2.5,38,2
Arabian,3.395505617977528,241.47191011235955,2.4831460674157304,89,2
Argentine,4.26,465.2,2.2,5,2
Armenian,1.7727272727272727,75.45454545454545,1.4545454545454546,11,1
Asian,3.8570687418936447,490.4811932555123,2.9429312581063556,771,0
Asian Fusion,3.6555555555555554,80.44444444444444,4.0,9,0
Assamese,2.742857142857143,119.14285714285714,1.5714285714285714,7,1
Australian,3.6727272727272724,110.0,2.727272727272727,11,0
Awadhi,1.7703703703703704,60.0,2.185185185185185,27,1
BBQ,3.87051282051282,304.03846153846155,2.0384615384615383,78,2
Bakery,2.6441271901362753,101.5489941596366,1.4672290720311485,1541,1
Bar Food,3.909677419354839,401.3225806451613,2.4408602150537635,93,2
Belgian,4.14,62.2,3.8,10,0
Bengali,3.1222222222222222,295.9583333333333,1.875,72,2
Beverages,2.9514680483592404,133.9706390328152,1.5820379965457685,579,1
Bi_rek,4.7,1305.0,2.0,2,3
Bihari,3.7583333333333333,639.5833333333334,2.3333333333333335,12,2
Biryani,2.7786486486486486,144.74864864864864,1.7540540540540541,370,1
Brazilian,3.725925925925926,114.03703703703704,3.3703703703703702,54,0
Breakfast,3.9882978723404254,393.8829787234043,1.627659574468085,94,2
British,4.061538461538461,391.53846153846155,2.948717948717949,39,0
Bubble Tea,4.4,659.0,1.0,4,2
Burger,3.543731343283582,330.210447761194,2.0925373134328358,670,2
Burmese,4.034782608695652,341.3478260869565,3.347826086956522,46,0
Cafe,3.54849648112604,354.62827895073576,2.198336532309661,1563,2
Cajun,4.127586206896551,459.6551724137931,2.2758620689655173,29,2
Canadian,3.0,6.0,2.0,2,1
Cantonese,3.857142857142857,33.142857142857146,3.142857142857143,7,0
Caribbean,4.266666666666667,685.9444444444445,2.6666666666666665,18,3
Charcoal Grill,4.194117647058824,347.4117647058824,2.6470588235294117,17,2
Chettinad,3.7085106382978728,645.8085106382979,2.8085106382978724,47,3
Chinese,2.797788395904437,165.120819112628,2.008464163822526,7325,1
Coffee and Tea,3.832,281.02,1.82,50,2
Contemporary,4.1535714285714285,183.96428571428572,3.5357142857142856,28,0
