Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country,Cuisine,quality_score,quality_grade,pred_score,rank_in_locality
90744,Exotica,1,Hyderabad,"Opposite Audi Showroom, 5th Floor, 12th Square Building, Road 12, Banjara Hills, Hyderabad","12th Square Building, Banjara Hills","12th Square Building, Banjara Hills, Hyderabad",78.43722526,17.41037066,"Mughlai, North Indian, Chinese",1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.3,Green,Very Good,3374,India,Chinese,5.447245180991988,3,15.413522631917978,1.0
15239,Basant Restaurant,1,Ludhiana,"Urban Estate, Main Market, Phase 1, Dugri, Ludhiana","A Hotel, Gurdev Nagar","A Hotel, Gurdev Nagar, Ludhiana",75.84273856,30.87398772,"North Indian, Chinese, Fast Food",800,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,93,India,Fast Food,3.882988434681001,2,2.23328748527527,1.0
310281,Haldiram's,1,New Delhi,"1st Floor, ARSS Mall, Opposite Jwalaheri, Paschim Vihar, New Delhi","ARSS Mall, Paschim Vihar","ARSS Mall, Paschim Vihar, New Delhi",77.10154384,28.66894461,"North Indian, South Indian, Chinese, Mithai, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,117,India,Chinese,3.601205387339699,2,3.4466420716330184,1.0
18287358,Food Cloud,1,New Delhi,"Aaya Nagar, New Delhi",Aaya Nagar,"Aaya Nagar, New Delhi",0.0,0.0,Cuisine Varies,500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated,2,India,Cuisine Varies,0.3295836866004329,0,-15.679140772336902,1.0
18212135,Denny's,214,Abu Dhabi,"Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi","Abu Dhabi Mall, Tourist Club Area (Al Zahiyah)","Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi",54.38279729,24.49550307,American,190,Emirati Diram(AED),No,No,No,No,4,4.6,Dark Green,Excellent,207,UAE,American,4.821261423910395,3,15.310545823173527,2.0
5704255,Famous Dave's Barbecue,214,Abu Dhabi,"Near The One, Level 3, Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi","Abu Dhabi Mall, Tourist Club Area (Al Zahiyah)","Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi",54.38294616,24.49569253,American,260,Emirati Diram(AED),No,Yes,No,No,4,4.6,Dark Green,Excellent,376,UAE,American,4.999673556234403,3,15.413522631917978,1.0
5600457,Gazebo,214,Sharjah,"Opposite Safeer Market, Near E max, King Faisal Street, Abu Shagara, Sharjah",Abu Shagara,"Abu Shagara, Sharjah",55.39269626,25.33320395,"Indian, Mughlai, South Indian, Biryani",120,Emirati Diram(AED),No,Yes,No,No,4,4.1,Green,Very Good,372,UAE,Biryani,4.646473525893144,3,15.413522631917978,1.0
5602751,Vadakkan Pepper,214,Sharjah,"Near New City Center Supermarket, Abu Shagara, Sharjah",Abu Shagara,"Abu Shagara, Sharjah",55.396984,25.338089,South Indian,70,Emirati Diram(AED),No,Yes,No,No,3,3.8,Yellow,Good,210,UAE,South Indian,4.265557440042819,3,15.284427785065294,2.0
5600424,Kamat,214,Sharjah,"Opposite HSBC, Near Emax, King Faisal Street, Abu Shagara, Sharjah",Abu Shagara,"Abu Shagara, Sharjah",55.39273214,25.33315516,"Indian, North Indian, South Indian, Chinese",85,Emirati Diram(AED),No,Yes,No,No,3,3.9,Yellow,Good,285,UAE,South Indian,4.426797543245955,3,15.413522631917978,1.0
18249144,Hoppipola,1,Kolkata,"4th Floor, Acropolis Mall, 1858/1, Rajdanga Main Road, Kasba, Kolkata","Acropolis Mall, Kasba","Acropolis Mall, Kasba , Kolkata",88.3933102,22.51458534,"Italian, Mexican, American, Mediterranean",1200,Indian Rupees(Rs.),No,Yes,No,No,3,4.2,Green,Very Good,1103,India,Mediterranean,5.042008568051112,3,15.42171171195103,1.0
