Restaurant Name,Cuisines,Aggregate rating,Price range,City
Toit,"Italian, American, Pizza",4.8,4,Bangalore
Truffles,"American, Burger, Cafe",4.7,2,Bangalore
Hauz Khas Social,"Continental, American, Asian, North Indian",4.3,3,New Delhi
Peter Cat,"Continental, North Indian",4.3,3,Kolkata
AB's - Absolute Barbecues,"European, Mediterranean, North Indian",4.6,3,Bangalore
Barbeque Nation,"North Indian, Chinese",4.9,3,Kolkata
Big Brewsky,"Finger Food, North Indian, Italian, Continental, Thai, South Indian",4.5,3,Bangalore
The Black Pearl,"North Indian, European, Mediterranean",4.1,3,Bangalore
BarBQ,"Chinese, North Indian",4.2,2,Kolkata
Saravana Bhavan,South Indian,4.3,2,New Delhi
Joey's Pizza,Pizza,4.0,2,Mumbai
Big Chill,"Italian, Continental, European, Cafe",4.5,3,New Delhi
Warehouse Cafe,"American, Continental, Italian, North Indian, Asian",3.7,3,New Delhi
Karim's,"Mughlai, North Indian",4.0,2,New Delhi
Mocambo,"Continental, Italian, North Indian",3.5,3,Kolkata
Farzi Cafe,Modern Indian,4.3,4,Gurgaon
Gulati,"North Indian, Mughlai",4.4,3,New Delhi
Ricos,"Cafe, Mexican, American, Italian, Lebanese, Continental",4.3,2,New Delhi
Big Yellow Door,"Cafe, Italian, Fast Food",4.3,2,New Delhi
Out Of The Box,"American, North Indian, European, Asian",3.7,3,New Delhi
Wenger's,"Bakery, Fast Food, Desserts",4.3,1,New Delhi
Downtown - Diners & Living Beer Cafe,"North Indian, Chinese, Italian, Continental",4.4,3,Gurgaon
Glen's Bakehouse,"Bakery, Desserts, Cafe",4.0,2,Bangalore
Rajinder Da Dhaba,"North Indian, Mughlai, Chinese",4.3,2,New Delhi
The All American Diner,"American, Fast Food",4.1,3,New Delhi
The Vault Cafe,"North Indian, Mediterranean, Asian, Continental",3.9,3,New Delhi
Exotica,"Mughlai, North Indian, Chinese",4.3,3,Hyderabad
SpiceKlub,North Indian,4.2,3,Mumbai
Mirchi And Mime,"North Indian, South Indian, Mughlai",4.9,3,Mumbai
Cha Bar,Cafe,3.9,2,New Delhi
Bern's Steak House,"American, Desserts, Steak",4.7,4,Tampa Bay
Datz,"Desserts, Bar Food",4.7,3,Tampa Bay
My Bar Headquarters,"North Indian, Mughlai, Chinese",3.7,3,New Delhi
Andhra Bhavan,"South Indian, Andhra",4.2,1,New Delhi
The Flying Saucer Cafe,"Italian, Mediterranean, Continental, North Indian",4.3,3,New Delhi
Khan Chacha,"Mughlai, North Indian",3.7,2,New Delhi
SodaBottleOpenerWala,"Parsi, Iranian",4.0,3,Gurgaon
Bukhara - ITC Maurya,North Indian,4.4,4,New Delhi
Pirates of Grill,"North Indian, Continental, Mughlai, Asian",4.1,4,Gurgaon
QD's Restaurant,"Chinese, North Indian, Fast Food, Italian",3.9,2,New Delhi
Parikrama - The Revolving Restaurant,"North Indian, Chinese, Mughlai",3.8,4,New Delhi
Berco's,"Chinese, Thai",3.9,3,New Delhi
Naturals Ice Cream,Ice Cream,4.9,1,New Delhi
Lord of the Drinks,"European, Chinese, North Indian, Italian",3.9,4,New Delhi
Santa's Fantasea,"Seafood, Chinese",4.2,2,Kolkata
Chili's,"Mexican, American, Tex-Mex, Burger",4.6,3,Hyderabad
Lodi - The Garden Restaurant,"European, Lebanese, Mediterranean",4.2,4,New Delhi
AB's Absolute Barbecues,"Indian, Continental",4.8,3,Dubai
Le Plaisir,"European, Desserts",4.8,3,Pune
My Bar Lounge & Restaurant,"North Indian, Chinese, Italian, Continental",2.7,3,New Delhi
The Cheesecake Factory,"American, Desserts",4.7,3,Dubai
Starbucks,Cafe,4.1,2,New Delhi
Sultans of Spice,"North Indian, Mughlai",4.1,3,Bangalore
The Wine Company,"Italian, European",2.4,4,Gurgaon
The Fatty Bao - Asian Gastro Bar,Asian,4.7,4,Bangalore
Ambrosia Bliss,"North Indian, Chinese, Italian, Continental",4.0,3,New Delhi
Texas de Brazil,"Brazilian, Steak",4.6,4,Orlando
Pind,"North Indian, Chinese",4.0,2,Chennai
The Town House Cafe,"Continental, North Indian, Italian, Asian",4.0,4,New Delhi
Imperfecto,"Mediterranean, Italian, Continental, Spanish, North Indian",3.7,3,New Delhi
McGuire's Irish Pub & Brewery,"Burger, Bar Food, Steak",4.9,3,Pensacola
The Irish House,"European, American",4.4,3,Kolkata
Olive Bistro,"Mediterranean, Italian, European",4.4,4,Hyderabad
Cafe Lota,"North Indian, South Indian, Bihari",4.5,3,New Delhi
Talaga Sampireun,"Sunda, Indonesian",4.9,3,Tangerang
Britto's Bar & Restaurant,"North Indian, Continental, Chinese, Seafood",4.3,4,Goa
Kake Da Hotel,North Indian,3.5,2,New Delhi
Diggin,"Italian, Continental, Cafe",4.2,3,New Delhi
Manhattan Brewery & Bar Exchange,"Finger Food, American, Continental, North Indian, Italian",4.6,4,Gurgaon
Burger King,"Burger, Fast Food",3.8,2,New Delhi
The Fusion Kitchen,"North Indian, Italian, Chinese, Mexican",4.7,3,Mumbai
The Rolling Pin,"Bakery, Desserts, Cafe",3.9,2,Mumbai
Tea Villa Cafe,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",4.1,3,Mumbai
Desi Vibes,"North Indian, Mughlai",3.8,3,Noida
Chew - Pan Asian Cafe,"Asian, Japanese, Chinese, Thai",3.9,3,New Delhi
The Ravenous Pig,Pub Food,4.4,3,Orlando
AMPM Cafi & Bar,"Continental, Italian, American",4.1,3,New Delhi
Punjab Grill,"North Indian, Mughlai",4.2,3,New Delhi
Wood Box Cafe,"Cafe, Fast Food, Italian, Chinese",3.8,2,New Delhi
Odeon Social,"Continental, American, Asian, North Indian",4.1,3,New Delhi
Hard Rock Cafe,"Mediterranean, Mexican, North Indian, American",4.1,4,Gurgaon
Indian Accent - The Manor,Modern Indian,4.9,4,New Delhi
Vapour Pub & Brewery,"Finger Food, Continental, North Indian, Italian, Chinese",3.7,3,Gurgaon
Nando's,"Portuguese, African",3.7,3,New Delhi
Raasta,"Continental, Italian",3.9,4,New Delhi
Taco Bus,"Mexican, Vegetarian",4.5,1,Tampa Bay
Route 04,"Continental, American, Tex-Mex, North Indian",3.5,3,New Delhi
Heart Cup Coffee,"Cafe, Continental, North Indian, Chinese",4.2,3,Hyderabad
Fork You,"Continental, Asian, Italian, Mediterranean, Burger",3.8,3,New Delhi
Cafe Delhi Heights,"Continental, American, Italian, Seafood, North Indian, Cafe",4.0,4,Gurgaon
United Coffee House,"North Indian, European, Asian, Mediterranean",4.1,4,New Delhi
Summer House Cafe,"Italian, Continental",4.1,3,New Delhi
Ardor 2.1,"North Indian, Chinese, Continental, Italian",4.1,4,New Delhi
Last Resort Grill,"American, Southern, Southwestern",4.5,3,Athens
Kaidi Kitchen,"Italian, Mexican, Chinese, Thai, North Indian",4.0,3,Chennai
That Madras Place,"European, Italian, Desserts",4.2,2,Chennai
Molecule Air Bar,"Continental, North Indian, Italian, Chinese",4.2,3,Gurgaon
The Olde Pink House,"American, Seafood, Southern",4.4,4,Savannah
Tamasha,"Finger Food, North Indian, Continental, Italian",3.7,3,New Delhi
